"","album_num_tracks","weeks_on_chart","streams","danceability","energy","key","loudness","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration","days_since_release","rank"
"271",15,39,3236826,0.731,0.675,5,-5.134,0.0434,0.00473,0,0.141,0.298,124.939,139461,223,35
"272",1,1,3128957,0.597,0.571,1,-6.205,0.293,0.492,0,0.093,0.165,106.196,218448,6,36
"273",1,1,3102401,0.517,0.848,10,-4.054,0.0521,0.00581,0,0.214,0.429,95.906,188779,7,37
"274",1,16,3081836,0.841,0.593,1,-7.846,0.0379,0.418,0,0.124,0.808,124.917,162803,111,38
"275",21,5,2872335,0.88,0.575,6,-6.091,0.163,0.415,0,0.109,0.671,120.031,232048,34,42
"276",1,5,2711773,0.871,0.545,7,-10.489,0.189,0.0143,0,0.148,0.722,100.482,155720,34,43
"277",13,55,2685140,0.746,0.69,11,-7.956,0.164,0.247,0,0.101,0.497,89.977,181733,384,44
"278",19,5,2676383,0.849,0.701,6,-4.407,0.06,0.407,0,0.112,0.505,98.005,261667,91,45
"279",17,38,2669531,0.8,0.658,1,-6.142,0.079,0.25,0,0.111,0.462,140.042,195429,251,46
"280",23,3,2593780,0.953,0.621,8,-7.638,0.221,0.017,0,0.0398,0.883,123.016,152333,20,49
"281",19,44,2494001,0.823,0.586,6,-6.606,0.2,0.114,0,0.193,0.347,125.971,190476,307,52
"282",1,39,2443738,0.935,0.454,1,-7.509,0.375,0.0194,0,0.0824,0.357,133.073,187541,272,55
"283",17,133,2441134,0.755,0.522,2,-4.368,0.0575,0.533,0,0.0685,0.925,89.96,157560,608,56
"284",14,1,2429703,0.877,0.444,8,-7.547,0.172,0.24,0,0.169,0.658,129.06,165527,6,57
"285",1,1,2425641,0.867,0.576,6,-6.433,0.334,0.0023,0,0.148,0.417,77.983,135445,9,58
"286",1,38,2424503,0.761,0.518,0,-8.871,0.134,0.244,3.47e-05,0.107,0.522,133.976,261493,265,59
"287",1,2,2391672,0.727,0.546,0,-4.572,0.0437,0.656,0,0.122,0.69,106.891,197333,13,61
"288",14,42,2313097,0.803,0.565,5,-4.711,0.235,0.0558,0,0.141,0.474,163.085,200221,6,66
"289",22,43,2263412,0.625,0.814,0,-5.181,0.0657,0.0172,0,0.158,0.535,144.991,205485,300,71
"290",1,10,2221275,0.853,0.426,1,-6.812,0.374,0.0765,0,0.104,0.201,160.051,200424,69,75
"291",15,46,2195639,0.904,0.723,11,-5.224,0.26,0.0631,0,0.185,0.835,145.013,227478,146,77
"292",19,6,2136829,0.726,0.411,1,-12.929,0.0671,0.438,0,0.087,0.734,137.905,190459,41,81
"293",1,1,2037566,0.647,0.608,9,-6.831,0.42,0.13,0,0.0584,0.474,125.994,175238,13,86
"294",16,33,1987059,0.67,0.693,6,-8.34,0.35,0.2,0,0.0909,0.388,87.017,212093,48,94
"295",21,69,1914780,0.795,0.574,2,-6.903,0.487,0.067,0,0.15,0.537,142.053,237918,356,104
"296",16,23,1893525,0.856,0.618,7,-4.892,0.286,0.0303,0,0.0866,0.391,81.993,203201,160,107
"297",1,158,1877609,0.351,0.296,4,-10.109,0.0333,0.934,0,0.095,0.12,115.284,200186,1113,108
"298",1,83,1743650,0.474,0.631,5,-5.884,0.343,0.0687,0,0.132,0.425,180.051,189323,580,116
"299",1,2,1734439,0.615,0.422,5,-8.019,0.0504,0.604,0,0.112,0.185,135.859,214094,13,117
"300",10,6,1730351,0.964,0.398,11,-8.981,0.0795,0.00151,3.95e-05,0.101,0.563,105.012,178405,111,118
"301",1,3,1725020,0.691,0.695,0,-5.6,0.0367,0.0592,0,0.0647,0.514,106.064,233386,20,119
"302",14,1,1714821,0.397,0.545,3,-8.052,0.0985,0.133,0,0.116,0.301,142.214,258982,6,120
"303",13,6,1668431,0.831,0.727,8,-3.657,0.169,0.447,0,0.111,0.703,125.068,213080,41,132
"304",22,5,1659645,0.538,0.512,4,-4.548,0.0262,0.22,0,0.101,0.12,144.978,204632,35,133
"305",11,51,1652787,0.682,0.683,8,-6.444,0.0287,0.156,2.32e-05,0.273,0.64,120.023,178000,776,136
"306",14,18,1642605,0.687,0.336,5,-10.748,0.0456,0.0755,0,0.126,0.215,85.828,219270,6,138
"307",1,2,1633209,0.824,0.862,2,-3.424,0.126,0.0076,0.000132,0.303,0.801,122.98,169153,111,140
"308",1,2,1631951,0.707,0.689,4,-7.097,0.0387,0.0255,0,0.383,0.41,119.987,195962,195,142
"309",1,9,1610563,0.779,0.705,6,-5.891,0.163,0.00471,0,0.0971,0.196,140.005,192804,63,148
"310",10,114,1609876,0.88,0.428,9,-8.28,0.206,0.149,5.05e-05,0.114,0.333,100.007,172800,1284,149
"311",20,67,1607621,0.808,0.745,10,-5.26,0.342,0.145,0,0.292,0.829,165.995,210800,475,150
"312",14,89,1591685,0.772,0.639,1,-7.119,0.467,0.15,0,0.0698,0.261,168.112,166560,699,155
"313",13,136,1572132,0.897,0.662,1,-6.903,0.292,0.0852,0,0.534,0.389,112.511,145543,944,159
"314",17,22,1570362,0.957,0.437,11,-7.882,0.359,0.00402,0,0.219,0.616,130.058,137984,167,160
"315",23,3,1552984,0.851,0.703,4,-7.351,0.303,0.00949,2.57e-05,0.0895,0.596,74.017,242600,20,167
"316",1,64,1548853,0.726,0.431,8,-8.765,0.135,0.731,0,0.696,0.348,144.026,173333,453,168
"317",34,35,1542039,0.905,0.647,10,-5.065,0.107,0.0187,0,0.282,0.367,130.97,190534,290,170
"318",13,50,1527078,0.755,0.578,0,-8.932,0.145,0.316,0,0.25,0.581,94.148,176960,363,171
"319",1,41,1508397,0.727,0.626,7,-8.415,0.0726,0.0469,2.58e-05,0.126,0.322,86.97,191406,300,173
"320",10,92,1506743,0.809,0.545,7,-6.678,0.0735,0.392,0,0.151,0.244,97.008,180435,678,175
"321",20,15,1498310,0.829,0.343,0,-4.962,0.0982,0.00718,0,0.172,0.309,78.061,135418,41,178
"322",15,46,1490154,0.487,0.74,6,-4.973,0.0944,0.157,0,0.612,0.522,73.779,181688,286,180
"323",1,1,1490054,0.596,0.679,4,-6.395,0.0394,0.723,0,0.116,0.479,131.912,207974,83,181
"324",1,1,1485394,0.913,0.573,11,-9.05,0.379,0.0202,0,0.236,0.626,145.011,162802,6,183
"325",14,1,1484438,0.669,0.687,6,-5.782,0.12,0.009,0,0.508,0.335,91.969,306194,6,184
"326",15,13,1481793,0.654,0.875,1,-4.845,0.0744,0.000417,0.0086,0.194,0.522,99.975,171621,223,185
"327",14,62,1480701,0.769,0.719,8,-5.472,0.0474,0.0143,0.00777,0.359,0.863,121.955,176867,167,186
"328",18,173,1468250,0.585,0.52,5,-6.136,0.0712,0.124,7.01e-05,0.131,0.129,159.801,218147,1105,188
"329",3,9,1456064,0.77,0.637,1,-5.53,0.345,0.103,0,0.171,0.431,94.966,383037,62,190
